iterationIndex,maxcut,prob,maxcutGroups,blacks,loss
22,9,"[0.10416667 0.19270833 0.15625    0.11458333 0.04166667 0.203125
 0.08333333 0.10416667]","[0, 1, 1, 0, 0, 1, 0, 0]",3,0.3369140625
23,9,"[0.03645833 0.16666667 0.08854167 0.11979167 0.03125    0.296875
 0.         0.26041667]","[0, 1, 0, 0, 0, 1, 0, 1]",3,0.3229166666666667
24,9,"[0.02083333 0.08854167 0.171875   0.13541667 0.015625   0.18229167
 0.0625     0.32291667]","[0, 0, 1, 1, 0, 1, 0, 1]",4,0.3271484375
25,9,"[0.05208333 0.08333333 0.22395833 0.16666667 0.03645833 0.125
 0.0625     0.25      ]","[0, 0, 1, 1, 0, 0, 0, 1]",3,0.3385416666666667
26,9,"[0.00520833 0.08854167 0.15104167 0.17708333 0.05208333 0.21354167
 0.046875   0.265625  ]","[0, 0, 1, 1, 0, 1, 0, 1]",4,0.5006510416666666
27,9,"[0.015625   0.27083333 0.09895833 0.27604167 0.02083333 0.21354167
 0.046875   0.05729167]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.24934895833333334
28,9,"[0.03645833 0.31770833 0.03125    0.23958333 0.06770833 0.24479167
 0.04166667 0.02083333]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3857421875
29,9,"[0.078125   0.32291667 0.05208333 0.20833333 0.13020833 0.16145833
 0.02604167 0.02083333]","[0, 1, 0, 1, 1, 1, 0, 0]",4,0.41015625000000006
30,9,"[0.109375   0.33333333 0.05208333 0.24479167 0.140625   0.06770833
 0.03645833 0.015625  ]","[0, 1, 0, 1, 1, 0, 0, 0]",3,0.4306640625
31,9,"[0.10416667 0.28125    0.03645833 0.1875     0.21354167 0.07291667
 0.03645833 0.06770833]","[0, 1, 0, 1, 1, 0, 0, 0]",3,0.4309895833333333
32,9,"[0.14583333 0.24479167 0.03125    0.171875   0.10416667 0.19270833
 0.015625   0.09375   ]","[1, 1, 0, 1, 0, 1, 0, 0]",4,0.30924479166666674
33,10,"[0.078125   0.25       0.015625   0.19270833 0.11979167 0.13541667
 0.02604167 0.18229167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2679036458333333
34,10,"[0.04166667 0.28125    0.00520833 0.234375   0.05208333 0.24479167
 0.04166667 0.09895833]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.24283854166666666
35,10,"[0.02604167 0.30729167 0.02083333 0.15104167 0.02083333 0.22916667
 0.03125    0.21354167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.3089192708333333
36,10,"[0.03645833 0.29166667 0.015625   0.19270833 0.03645833 0.203125
 0.02604167 0.19791667]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2503255208333333
37,10,"[0.03645833 0.20833333 0.02083333 0.234375   0.046875   0.234375
 0.03125    0.1875    ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.26627604166666663
38,10,"[0.078125   0.21354167 0.04166667 0.22916667 0.0625     0.171875
 0.05208333 0.15104167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.2890625
39,10,"[0.05208333 0.171875   0.05729167 0.265625   0.078125   0.16666667
 0.02083333 0.1875    ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.21354166666666669
40,10,"[0.05729167 0.19791667 0.03645833 0.28125    0.07291667 0.15625
 0.015625   0.18229167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23437499999999997
41,10,"[0.02083333 0.16145833 0.03125    0.18229167 0.03645833 0.18229167
 0.02604167 0.359375  ]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23535156250000003
42,10,"[0.02083333 0.08333333 0.015625   0.24479167 0.015625   0.27083333
 0.01041667 0.33854167]","[0, 0, 0, 1, 0, 1, 0, 1]",3,0.3401692708333333
43,10,"[0.02604167 0.171875   0.04166667 0.21875    0.02604167 0.296875
 0.00520833 0.21354167]","[0, 1, 0, 1, 0, 1, 0, 1]",4,0.23242187499999997
44,10,"[0.015625   0.234375   0.05208333 0.17708333 0.05208333 0.32291667
 0.02604167 0.11979167]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.21940104166666669
45,10,"[0.02604167 0.24479167 0.109375   0.22395833 0.04166667 0.21875
 0.03645833 0.09895833]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.24186197916666663
46,10,"[0.03125    0.25       0.08854167 0.22916667 0.0625     0.25
 0.02083333 0.06770833]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.3476562500000001
47,10,"[0.05729167 0.25       0.08854167 0.22395833 0.03125    0.23958333
 0.015625   0.09375   ]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.29850260416666663
48,10,"[0.06770833 0.22395833 0.07291667 0.203125   0.02604167 0.28125
 0.03125    0.09375   ]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.26790364583333337
49,10,"[0.06770833 0.27083333 0.07291667 0.15625    0.03645833 0.29166667
 0.02083333 0.08333333]","[0, 1, 0, 1, 0, 1, 0, 0]",3,0.2666015625
